age,salary,savings,risk_profile,goal,goal_amount,years_to_goal,selected_instrument,outcome
28,174593,2091957,Low,Buy a House,4947591,27,Savings Account,Failure
38,64481,338030,Low,Buy a House,2519097,26,Liquid Mutual Fund,Failure
58,77481,98686,High,Car Purchase,8847562,7,Sukanya Samriddhi,Success
57,62550,112635,Low,Buy a House,4339809,9,Gold ETF,Success
31,112109,29583,Medium,Child Education,3888119,8,Equity Mutual Fund,Failure
48,168138,273834,High,Tax Saving,7143450,19,ELSS Mutual Fund,Success
53,85922,923329,Medium,Travel Abroad,3360614,20,NPS,Success
32,31901,216678,Medium,Child Education,7365917,7,Balanced Mutual Fund,Success
24,160992,58689,Medium,Travel Abroad,1751682,8,Debt Mutual Fund,Success
58,22814,130305,Low,Travel Abroad,7501207,30,Liquid Mutual Fund,Success
48,38421,296315,Medium,Child Education,5242252,18,Gold ETF,Failure
29,103697,861380,Low,Emergency Fund,9771089,11,PPF,Success
41,133482,1232100,High,Car Purchase,6174876,6,RD,Success
36,23843,96199,High,Emergency Fund,3951913,21,Debt Mutual Fund,Success
25,17551,124931,High,Travel Abroad,7241139,23,Gold ETF,Success
23,193263,852775,High,Travel Abroad,8222181,11,Balanced Mutual Fund,Success
37,162433,837169,Medium,Tax Saving,908799,18,Equity Mutual Fund,Success
47,67224,90780,Low,Car Purchase,5417923,2,Equity Mutual Fund,Success
30,92699,297143,Low,Child Education,4230693,18,ULIP,Success
51,20323,199179,Medium,Travel Abroad,7753951,4,ULIP,Failure
39,71941,548502,Medium,Child Education,5010508,8,Sukanya Samriddhi,Success
31,115407,433936,Medium,Tax Saving,7973336,26,FD,Success
37,17150,190143,High,Buy a House,9353761,22,PPF,Failure
60,119851,668103,High,Emergency Fund,7871559,6,Savings Account,Success
53,47925,85746,High,Retirement,1350295,9,FD,Success
53,158394,1033948,Medium,Buy a House,3024547,5,Equity Mutual Fund,Success
37,112114,327247,High,Retirement,8012691,30,FD,Success
57,134943,239017,High,Buy a House,9912303,6,Gold ETF,Failure
39,117893,1162275,High,Car Purchase,5271801,26,Sukanya Samriddhi,Success
33,120789,93334,High,Tax Saving,1703130,7,FD,Success
56,139607,891139,Low,Car Purchase,1558471,20,PPF,Success
39,119132,1358120,Low,Tax Saving,3542040,6,PPF,Success
49,93112,122893,Low,Tax Saving,4412149,10,Balanced Mutual Fund,Success
44,178376,827786,Medium,Tax Saving,4050577,21,RD,Success
24,144835,898059,Medium,Retirement,6641032,30,Savings Account,Success
39,99848,865763,Low,Buy a House,1734015,6,Savings Account,Failure
26,118454,1035036,Medium,Emergency Fund,4176417,16,ULIP,Success
54,196514,725245,Low,Car Purchase,9372561,10,Equity Mutual Fund,Failure
59,117574,1258176,Medium,Travel Abroad,7997027,3,NPS,Success
51,172357,252618,Low,Buy a House,7595624,2,Balanced Mutual Fund,Failure
23,63949,276394,Medium,Retirement,4436519,28,RD,Success
54,196667,547140,High,Emergency Fund,2328272,18,Equity Mutual Fund,Success
25,170945,533553,Low,Tax Saving,6971416,16,Equity Mutual Fund,Success
35,185559,249212,High,Car Purchase,7229032,3,Liquid Mutual Fund,Success
49,33036,292704,High,Child Education,6597478,12,Debt Mutual Fund,Failure
25,155357,1112013,Low,Retirement,3232156,29,ELSS Mutual Fund,Success
32,134154,60368,High,Car Purchase,6946688,29,ELSS Mutual Fund,Success
49,82524,172230,Medium,Travel Abroad,5977546,14,Debt Mutual Fund,Success
37,91506,794658,High,Retirement,9479881,19,ELSS Mutual Fund,Success
49,146925,681610,High,Tax Saving,6638774,22,NPS,Success
48,43304,452168,Medium,Car Purchase,3668483,5,Debt Mutual Fund,Success
38,118972,1169865,High,Retirement,7330027,3,Savings Account,Success
44,179113,1881767,Low,Retirement,6394127,3,Sukanya Samriddhi,Success
51,62182,553605,High,Retirement,8048472,11,Debt Mutual Fund,Failure
35,21333,15871,Medium,Travel Abroad,9796640,24,Sukanya Samriddhi,Failure
48,159009,561433,Medium,Car Purchase,8375071,1,Liquid Mutual Fund,Failure
25,70193,814156,Medium,Child Education,5014573,27,Liquid Mutual Fund,Success
37,16260,50199,Medium,Child Education,7193383,9,Debt Mutual Fund,Success
22,144585,1304661,Medium,Buy a House,4672341,26,Savings Account,Success
40,180368,2108334,High,Buy a House,6904455,19,Gold ETF,Success
38,152495,1051008,Medium,Emergency Fund,9237793,1,ELSS Mutual Fund,Success
55,62187,234246,Medium,Child Education,5517030,9,Sukanya Samriddhi,Success
29,70143,216422,Medium,Retirement,2195576,20,Sukanya Samriddhi,Failure
51,104611,446492,Medium,Travel Abroad,5319931,29,RD,Success
44,192913,821010,Low,Tax Saving,8461922,1,Equity Mutual Fund,Success
25,27543,225799,High,Car Purchase,6770881,27,NPS,Success
25,167783,1796194,Low,Emergency Fund,1508994,25,FD,Success
40,111887,333584,High,Child Education,7008512,21,ELSS Mutual Fund,Success
46,96174,201724,High,Car Purchase,1233890,10,ELSS Mutual Fund,Success
42,87855,994142,Medium,Buy a House,2684755,8,PPF,Success
55,90170,709192,Low,Travel Abroad,2909686,23,NPS,Failure
38,187142,1424269,Low,Tax Saving,9279527,3,Savings Account,Failure
46,64177,366064,High,Buy a House,147305,24,Gold ETF,Failure
41,139512,19683,High,Buy a House,8313578,30,Balanced Mutual Fund,Success
52,167622,1830180,Low,Car Purchase,8890876,27,PPF,Success
45,103576,1090196,Low,Tax Saving,6488624,17,Savings Account,Success
38,172369,521263,Medium,Car Purchase,3952970,8,ELSS Mutual Fund,Success
43,101465,309200,Medium,Travel Abroad,1899738,30,Gold ETF,Success
22,190612,1022672,Medium,Emergency Fund,434216,24,RD,Failure
54,53594,438865,High,Retirement,2650527,9,Equity Mutual Fund,Success
53,156179,1236834,High,Buy a House,891378,5,ELSS Mutual Fund,Success
45,20979,25183,High,Emergency Fund,8493317,20,RD,Failure
29,112458,304924,Medium,Retirement,2879986,11,RD,Success
46,195739,174556,Medium,Car Purchase,2660308,18,PPF,Success
28,156407,1747367,Low,Car Purchase,5287040,23,Savings Account,Success
54,28796,12182,High,Child Education,6716950,16,Equity Mutual Fund,Success
49,127518,1269119,Medium,Travel Abroad,2183554,14,PPF,Success
49,36577,214669,Low,Buy a House,260141,7,Debt Mutual Fund,Success
48,96850,78593,Low,Child Education,4987683,8,PPF,Success
42,57986,513193,High,Buy a House,7183477,20,Balanced Mutual Fund,Failure
24,92288,621235,Low,Car Purchase,5378317,7,Liquid Mutual Fund,Success
33,66481,194381,High,Child Education,9616112,2,Sukanya Samriddhi,Success
58,99580,422561,High,Tax Saving,8162920,29,Liquid Mutual Fund,Success
38,139863,691246,High,Travel Abroad,6015091,15,PPF,Success
31,54616,193672,Low,Emergency Fund,9774334,27,PPF,Success
24,94801,806555,Low,Buy a House,2087924,14,NPS,Success
50,176399,1234360,High,Emergency Fund,2365051,21,Savings Account,Success
33,23069,59205,Low,Retirement,2207535,3,FD,Success
23,94525,871843,Medium,Tax Saving,5231754,4,ELSS Mutual Fund,Success
44,190908,133858,Low,Retirement,6949811,21,RD,Failure
24,56045,592899,Medium,Car Purchase,4017597,15,Equity Mutual Fund,Failure
50,87503,423777,High,Buy a House,9551145,28,Liquid Mutual Fund,Success
22,104246,1124771,High,Child Education,2570253,27,ELSS Mutual Fund,Success
54,120487,821119,Low,Retirement,8252925,23,ULIP,Success
27,106096,78982,Medium,Buy a House,9264367,7,PPF,Success
48,71384,800751,Low,Travel Abroad,7260386,3,ELSS Mutual Fund,Success
32,171894,1353593,High,Child Education,9213798,28,FD,Success
59,157834,1091996,Low,Retirement,9369701,9,Equity Mutual Fund,Success
34,43573,171319,Medium,Tax Saving,190118,22,FD,Failure
29,80967,338665,Medium,Buy a House,2667174,11,FD,Success
40,68165,510899,High,Emergency Fund,1112161,20,Debt Mutual Fund,Success
50,51964,229551,Low,Travel Abroad,6563443,17,NPS,Success
45,19119,168919,Low,Child Education,6280602,15,Liquid Mutual Fund,Success
46,54481,398833,Medium,Child Education,2193462,16,Savings Account,Success
26,148012,74821,High,Retirement,2115144,29,ULIP,Success
24,142921,152738,Medium,Travel Abroad,8520413,1,Equity Mutual Fund,Success
22,39179,341030,Low,Travel Abroad,7475144,18,Debt Mutual Fund,Success
38,154341,422439,Low,Tax Saving,3959556,28,Sukanya Samriddhi,Success
34,98800,194670,Medium,Retirement,9408731,20,Equity Mutual Fund,Failure
57,174260,154022,Medium,Emergency Fund,772104,8,PPF,Failure
39,106734,693392,Low,Child Education,4535605,12,ELSS Mutual Fund,Failure
39,108334,1195049,Medium,Travel Abroad,7827128,6,ELSS Mutual Fund,Success
47,123501,304137,Low,Buy a House,6685391,6,Liquid Mutual Fund,Success
26,123703,777654,High,Tax Saving,3702082,9,FD,Success
55,112128,696841,Medium,Travel Abroad,4510106,5,Balanced Mutual Fund,Success
28,22484,36262,Medium,Child Education,6244846,9,PPF,Success
23,28075,191317,Medium,Emergency Fund,8051461,18,Balanced Mutual Fund,Success
46,180742,304317,Medium,Child Education,5622442,25,ULIP,Success
56,81959,81175,Medium,Child Education,3648342,4,Sukanya Samriddhi,Success
36,23666,188667,Medium,Travel Abroad,4524611,14,RD,Success
37,16617,27961,Medium,Tax Saving,7337893,1,Balanced Mutual Fund,Success
60,102532,432327,Medium,Retirement,7456146,1,Debt Mutual Fund,Success
34,187630,177936,Medium,Tax Saving,3420070,4,ULIP,Success
47,29243,253396,Medium,Tax Saving,8618247,21,PPF,Success
60,57305,42555,Low,Tax Saving,8818984,10,Equity Mutual Fund,Failure
40,67499,542683,Low,Retirement,230274,29,FD,Failure
46,166378,345157,Low,Emergency Fund,4546052,28,Balanced Mutual Fund,Failure
29,53274,296132,High,Travel Abroad,8817966,25,RD,Success
59,104596,930009,High,Emergency Fund,7556488,29,Savings Account,Failure
25,161956,730166,Medium,Child Education,4156452,3,ULIP,Success
33,156771,1673610,High,Emergency Fund,5228148,23,Liquid Mutual Fund,Success
57,84148,393566,Medium,Tax Saving,7312448,10,ELSS Mutual Fund,Failure
24,151747,1656855,Low,Tax Saving,4907433,29,Sukanya Samriddhi,Success
60,179969,1112095,Medium,Buy a House,5892693,12,ELSS Mutual Fund,Success
29,187111,746440,Medium,Retirement,1461173,18,RD,Success
48,167770,775866,Medium,Travel Abroad,4665517,13,Balanced Mutual Fund,Success
56,45387,434151,Low,Emergency Fund,7995149,4,PPF,Success
58,198784,1199878,Low,Emergency Fund,1128367,26,Gold ETF,Success
51,52692,149821,Medium,Tax Saving,6200131,28,Debt Mutual Fund,Failure
40,43821,448028,High,Car Purchase,667426,2,ELSS Mutual Fund,Success
48,94400,283625,Medium,Retirement,3926147,21,Liquid Mutual Fund,Failure
27,68646,514527,High,Retirement,4101797,27,Equity Mutual Fund,Success
27,109112,238492,Medium,Retirement,8767063,12,Savings Account,Success
34,18172,160922,Medium,Child Education,7789202,9,Gold ETF,Success
49,166389,295521,Low,Retirement,4001381,21,Equity Mutual Fund,Success
34,57997,160557,High,Car Purchase,6959180,10,NPS,Success
51,119519,1053535,High,Retirement,7502661,25,ULIP,Success
56,115732,1128125,High,Car Purchase,6980621,1,RD,Success
23,69984,730628,Medium,Emergency Fund,4358538,11,RD,Success
43,22685,141499,High,Car Purchase,2807280,12,ELSS Mutual Fund,Failure
46,176609,506423,Medium,Car Purchase,4477699,26,FD,Success
60,182588,780498,Medium,Car Purchase,8779300,8,Gold ETF,Success
55,140798,42183,Low,Retirement,8997719,29,ELSS Mutual Fund,Success
54,129544,338645,High,Car Purchase,2449003,15,NPS,Success
45,141127,1140839,High,Car Purchase,9868396,1,Savings Account,Failure
40,165812,326096,Medium,Retirement,9728107,1,FD,Failure
31,121113,408108,Low,Child Education,205427,17,Equity Mutual Fund,Success
25,32589,252977,High,Travel Abroad,704882,14,Balanced Mutual Fund,Success
41,63172,16040,Low,Travel Abroad,3876803,27,Liquid Mutual Fund,Success
27,172485,1052552,High,Child Education,6192507,8,Savings Account,Success
37,161271,691694,High,Child Education,593214,10,ULIP,Failure
29,75968,97298,High,Travel Abroad,1195837,8,RD,Success
47,197574,1313545,Low,Travel Abroad,6857435,6,Sukanya Samriddhi,Success
26,100238,750799,High,Retirement,1813795,29,ELSS Mutual Fund,Success
48,191735,1710072,Low,Emergency Fund,5245895,8,Savings Account,Success
54,107848,757494,Low,Retirement,7365585,7,RD,Success
32,155913,1579502,Low,Car Purchase,3473213,21,ULIP,Failure
26,62404,140213,Low,Tax Saving,4075982,6,Savings Account,Success
51,118600,40956,Low,Buy a House,409558,12,Sukanya Samriddhi,Success
42,177570,293089,High,Car Purchase,7908622,28,Gold ETF,Success
42,115014,758218,High,Buy a House,2226327,2,ULIP,Success
35,196452,831988,High,Retirement,8672850,28,Gold ETF,Success
33,195544,1764564,Medium,Emergency Fund,3008685,14,Balanced Mutual Fund,Success
34,186570,96369,High,Tax Saving,4513638,5,ELSS Mutual Fund,Success
45,58284,69165,Low,Emergency Fund,7473430,11,Gold ETF,Success
24,81618,138024,High,Car Purchase,9500601,23,NPS,Success
49,38086,291399,Low,Car Purchase,6493417,29,NPS,Success
48,192070,817545,Medium,Child Education,8970765,18,NPS,Failure
47,51088,490727,Medium,Buy a House,8260618,18,RD,Success
57,134914,263113,High,Emergency Fund,9426583,20,Sukanya Samriddhi,Success
29,189514,173166,Low,Emergency Fund,7104110,8,ULIP,Success
22,107455,1284261,Low,Child Education,5894903,11,RD,Success
48,43792,333571,High,Car Purchase,7703036,7,Liquid Mutual Fund,Success
46,30847,61490,Medium,Travel Abroad,6336918,13,Sukanya Samriddhi,Success
55,180299,1472863,Low,Travel Abroad,1656425,10,Gold ETF,Success
24,124931,1410430,High,Tax Saving,359194,25,ELSS Mutual Fund,Success
42,137179,349237,High,Child Education,1035311,27,Savings Account,Success
59,70217,403197,Low,Travel Abroad,2137408,5,Equity Mutual Fund,Success
43,60766,43975,Medium,Buy a House,2614817,25,Sukanya Samriddhi,Success
40,121785,1361047,Low,Travel Abroad,3478713,27,Liquid Mutual Fund,Success
33,113202,1033030,Medium,Car Purchase,9233956,28,FD,Success
43,192936,372701,Low,Car Purchase,9774100,25,ELSS Mutual Fund,Success
27,93393,352648,Low,Travel Abroad,8963773,28,RD,Success
60,157566,346824,High,Emergency Fund,6165278,23,NPS,Success
51,56890,540173,High,Emergency Fund,7401935,16,Sukanya Samriddhi,Success
51,54148,238788,High,Tax Saving,272051,1,PPF,Failure
37,118963,413076,High,Travel Abroad,9424440,25,Sukanya Samriddhi,Success
53,46571,293900,Low,Tax Saving,3963906,5,Gold ETF,Success
45,99748,153602,Medium,Retirement,5445274,23,Gold ETF,Success
58,33076,219076,High,Child Education,5257592,28,Gold ETF,Failure
29,160295,775821,Low,Car Purchase,1990127,26,Liquid Mutual Fund,Failure
41,16627,76561,Medium,Retirement,7158003,2,Gold ETF,Success
34,46926,492429,Medium,Travel Abroad,7700573,4,Equity Mutual Fund,Success
37,185180,1807408,Medium,Car Purchase,8843271,30,RD,Success
23,112594,262593,Medium,Buy a House,7020146,2,Balanced Mutual Fund,Failure
29,18993,10264,Medium,Car Purchase,1750438,23,ULIP,Success
42,192869,656956,High,Buy a House,4867667,8,FD,Success
38,122290,623453,High,Buy a House,4663407,5,FD,Success
48,149188,606332,Medium,Child Education,651317,8,ELSS Mutual Fund,Success
41,58655,399777,Low,Retirement,9892808,24,Equity Mutual Fund,Success
60,88055,693962,Medium,Retirement,853586,26,FD,Success
28,56907,428328,Medium,Tax Saving,9275233,6,Gold ETF,Success
45,52964,366969,Medium,Emergency Fund,2031179,30,FD,Failure
33,125181,826703,High,Retirement,1556376,17,FD,Success
57,150344,93083,Medium,Child Education,7376044,23,NPS,Success
32,52637,289992,High,Car Purchase,7743770,17,PPF,Success
23,74573,870814,Medium,Car Purchase,5042601,6,PPF,Success
49,70514,133677,Low,Car Purchase,9211148,10,FD,Success
22,92719,657467,Low,Buy a House,1050634,27,PPF,Success
23,53968,231703,Medium,Car Purchase,8493630,17,Liquid Mutual Fund,Success
47,64004,555842,Low,Tax Saving,4228066,30,RD,Success
29,123160,1119078,Low,Emergency Fund,4405497,6,PPF,Success
24,127279,488604,Medium,Emergency Fund,3456990,20,Equity Mutual Fund,Success
51,173714,608297,Low,Child Education,2390593,27,FD,Success
45,63544,631157,Low,Car Purchase,1833993,15,Equity Mutual Fund,Success
32,68950,474914,Low,Travel Abroad,8765612,2,FD,Success
52,170423,412059,High,Travel Abroad,5117461,12,Savings Account,Failure
59,189867,591850,High,Tax Saving,8018586,15,Savings Account,Success
28,123233,1425889,Low,Retirement,7894306,28,RD,Success
52,86777,195956,High,Emergency Fund,2317386,2,ULIP,Failure
31,188914,1665374,High,Tax Saving,2335181,29,PPF,Success
45,197444,2173296,High,Emergency Fund,6061472,30,NPS,Success
35,149391,55602,High,Child Education,7137049,8,NPS,Success
54,156357,1743573,Medium,Tax Saving,5333969,13,ULIP,Success
28,53704,185275,Low,Travel Abroad,6445019,11,ELSS Mutual Fund,Success
51,173898,2038537,High,Travel Abroad,1857733,1,RD,Success
26,18469,148300,Low,Child Education,6436769,30,RD,Success
38,78451,475766,High,Tax Saving,2350762,1,Balanced Mutual Fund,Success
40,116473,876812,High,Buy a House,4915869,8,Equity Mutual Fund,Failure
36,107657,382627,High,Emergency Fund,3081863,10,NPS,Success
50,131500,792877,Medium,Travel Abroad,6987894,22,Liquid Mutual Fund,Success
51,143971,986575,Low,Emergency Fund,8468368,14,FD,Success
43,34385,367762,Medium,Emergency Fund,3774988,6,FD,Success
38,180920,1378192,Low,Tax Saving,4253590,20,ELSS Mutual Fund,Success
50,26500,197663,High,Tax Saving,8408435,5,Gold ETF,Success
38,131003,1535710,Medium,Buy a House,4747789,23,RD,Failure
38,75641,504653,Low,Tax Saving,3464698,27,ELSS Mutual Fund,Success
51,29797,167368,High,Tax Saving,714419,21,NPS,Failure
46,90189,128981,Medium,Travel Abroad,2582800,14,Balanced Mutual Fund,Failure
32,177331,1620044,High,Buy a House,348659,6,FD,Success
58,138516,909060,High,Tax Saving,2956270,12,ULIP,Success
29,34750,348999,Low,Buy a House,4827500,26,Gold ETF,Success
45,64702,775366,High,Car Purchase,3509184,6,NPS,Success
55,66234,319033,Low,Car Purchase,6689249,21,Savings Account,Success
32,38512,346021,Low,Tax Saving,948525,9,Debt Mutual Fund,Failure
35,145730,1271331,Medium,Car Purchase,3659297,11,Liquid Mutual Fund,Success
30,34135,96139,Medium,Buy a House,8685325,16,Sukanya Samriddhi,Success
51,182718,1091616,Medium,Buy a House,794286,21,Liquid Mutual Fund,Success
34,89872,789514,Low,Retirement,4600710,2,ULIP,Success
42,107439,240358,Low,Tax Saving,2690317,21,Liquid Mutual Fund,Success
52,43424,386300,High,Buy a House,1612718,13,ELSS Mutual Fund,Success
35,18306,136987,High,Buy a House,5576112,10,Equity Mutual Fund,Success
27,90393,77255,Low,Tax Saving,5266123,17,ULIP,Success
31,132649,364609,High,Child Education,5100357,6,PPF,Failure
41,136392,1466912,Medium,Tax Saving,5325365,23,FD,Success
55,101257,557876,High,Child Education,8217725,10,ULIP,Success
42,54729,124287,Medium,Car Purchase,3181366,16,Gold ETF,Success
54,146687,97990,Medium,Buy a House,4646809,6,Gold ETF,Failure
33,32182,17817,High,Tax Saving,5855519,21,PPF,Success
55,163125,255853,High,Retirement,6511943,7,Savings Account,Success
36,92855,811842,Medium,Child Education,1500601,5,Debt Mutual Fund,Success
36,38783,133306,Medium,Child Education,521973,26,ULIP,Success
54,134950,742264,High,Car Purchase,4691059,24,NPS,Success
52,115668,828720,Low,Buy a House,6455589,22,RD,Failure
46,32823,210488,High,Car Purchase,4870044,26,Debt Mutual Fund,Success
26,76952,656643,High,Travel Abroad,4644344,17,NPS,Success
59,162360,1508603,Low,Emergency Fund,7710536,11,Balanced Mutual Fund,Success
42,103800,1168634,Medium,Child Education,6820312,20,FD,Success
37,16944,40392,High,Emergency Fund,1219260,14,Savings Account,Success
38,28239,243949,High,Buy a House,5907779,15,FD,Success
39,143950,670598,Medium,Retirement,7094160,9,NPS,Failure
53,179845,1200627,Low,Travel Abroad,5406830,5,Savings Account,Success
48,170711,719127,Low,Car Purchase,5127930,6,FD,Success
46,59323,706555,High,Emergency Fund,8717564,9,Sukanya Samriddhi,Success
51,134990,1351954,Medium,Tax Saving,1202681,20,ULIP,Success
49,143324,887493,High,Retirement,5985107,10,FD,Failure
31,114592,511578,Medium,Buy a House,9128310,25,Sukanya Samriddhi,Success
56,100222,835511,High,Retirement,3070958,28,ELSS Mutual Fund,Success
23,82019,706314,Low,Emergency Fund,4694469,13,ULIP,Success
32,97341,1139716,Low,Car Purchase,3049576,8,Sukanya Samriddhi,Success
27,111552,1013932,Medium,Retirement,2892949,21,ULIP,Success
26,90866,147314,Medium,Child Education,2566473,28,ELSS Mutual Fund,Success
58,117236,1136481,High,Tax Saving,5384336,21,PPF,Success
55,18966,147245,High,Travel Abroad,5702757,5,RD,Success
57,68504,85562,High,Car Purchase,5005371,16,ULIP,Success
50,198447,1631492,Low,Retirement,6321230,4,FD,Success
40,187562,1892080,High,Buy a House,346511,25,ELSS Mutual Fund,Success
52,42217,194988,Low,Tax Saving,7601258,27,NPS,Success
28,167004,1579723,High,Emergency Fund,7444442,29,Debt Mutual Fund,Success
46,175935,26107,Medium,Child Education,5469204,18,FD,Success
45,109254,1113735,High,Buy a House,6662378,9,ELSS Mutual Fund,Success
30,151481,1167382,Low,Retirement,4787902,30,FD,Success
34,25900,196219,High,Emergency Fund,5311480,18,ULIP,Success
52,91670,558684,Medium,Car Purchase,7903426,3,ELSS Mutual Fund,Success
60,181250,1620151,High,Travel Abroad,3796085,5,PPF,Success
27,22773,262258,High,Car Purchase,7439627,21,ULIP,Success
55,194215,2177921,Medium,Tax Saving,5786451,9,ULIP,Success
59,112374,106060,Low,Buy a House,8530469,17,ELSS Mutual Fund,Success
45,34786,331017,Low,Retirement,8511687,22,Sukanya Samriddhi,Success
49,85133,220065,High,Travel Abroad,9284917,8,RD,Success
31,172187,1991585,Medium,Tax Saving,322470,10,Debt Mutual Fund,Success
25,74493,448749,Low,Emergency Fund,6214239,22,Gold ETF,Failure
50,195473,384355,High,Car Purchase,465603,6,RD,Success
39,54534,307105,High,Travel Abroad,161429,30,FD,Success
57,82054,388220,High,Travel Abroad,1211599,1,FD,Success
41,34681,367184,Low,Travel Abroad,3912049,19,Sukanya Samriddhi,Success
28,18068,121265,High,Tax Saving,2690833,1,Equity Mutual Fund,Success
30,76500,624225,Medium,Tax Saving,8437643,8,Debt Mutual Fund,Success
57,108934,1097098,Low,Retirement,5593987,2,Gold ETF,Success
34,32616,124213,High,Buy a House,8800929,16,Equity Mutual Fund,Failure
44,176448,1212823,High,Tax Saving,1767189,13,ULIP,Success
26,149631,1024215,High,Travel Abroad,928152,18,Debt Mutual Fund,Success
48,191415,2212461,Medium,Child Education,281461,28,Sukanya Samriddhi,Success
56,65305,401714,High,Tax Saving,6729976,24,Gold ETF,Success
36,135742,532985,Medium,Retirement,3900352,24,FD,Success
55,87667,711295,Low,Travel Abroad,6287151,12,ULIP,Success
22,86002,700538,High,Retirement,2736624,7,RD,Failure
49,89750,82567,Medium,Travel Abroad,9143335,17,ULIP,Success
30,62641,284771,High,Retirement,8204521,13,Sukanya Samriddhi,Failure
55,134911,859738,High,Travel Abroad,9383734,5,ELSS Mutual Fund,Success
29,160840,983945,Low,Travel Abroad,105459,19,Equity Mutual Fund,Failure
40,33275,187634,High,Travel Abroad,1125535,22,ELSS Mutual Fund,Success
48,131671,601476,Medium,Travel Abroad,2556364,3,Balanced Mutual Fund,Success
33,153669,483936,Low,Child Education,1124865,16,Balanced Mutual Fund,Success
22,69979,37847,Low,Tax Saving,4000879,19,PPF,Failure
49,185428,455006,High,Emergency Fund,8102667,15,Liquid Mutual Fund,Success
29,85512,454603,High,Tax Saving,4305424,17,RD,Success
54,167515,742858,Medium,Tax Saving,5612837,20,Gold ETF,Success
49,100704,38123,Medium,Child Education,4734231,28,Liquid Mutual Fund,Success
38,109103,1303642,High,Car Purchase,6260260,25,Equity Mutual Fund,Success
48,72937,524271,Low,Retirement,1140798,23,Savings Account,Success
41,199420,1531964,Low,Car Purchase,5100787,4,Equity Mutual Fund,Success
38,159843,648018,Low,Child Education,1023378,12,Equity Mutual Fund,Success
38,197505,1988098,Medium,Tax Saving,2670485,5,Liquid Mutual Fund,Success
51,20109,97308,Medium,Tax Saving,3421437,22,RD,Success
32,90587,656728,Medium,Child Education,4954277,23,Savings Account,Failure
28,17944,103214,Medium,Child Education,5008887,22,ELSS Mutual Fund,Success
34,172773,614594,High,Retirement,2457794,6,Sukanya Samriddhi,Success
31,74640,552656,High,Tax Saving,5791881,8,Savings Account,Success
22,146280,840626,Low,Child Education,7688573,12,Balanced Mutual Fund,Failure
53,124081,143834,Medium,Buy a House,6997953,22,Savings Account,Success
55,77742,496171,Low,Tax Saving,4735748,13,FD,Success
25,105317,440788,High,Child Education,3427498,29,FD,Failure
35,33157,267660,Medium,Tax Saving,4041922,25,ELSS Mutual Fund,Success
23,136174,1030215,Medium,Car Purchase,2651463,9,Liquid Mutual Fund,Success
46,157785,1109139,High,Buy a House,9008032,24,Sukanya Samriddhi,Success
40,129847,1440436,High,Car Purchase,5916606,21,Gold ETF,Success
37,119302,455326,High,Travel Abroad,5445101,20,PPF,Success
33,67413,51862,Low,Travel Abroad,4044405,14,Liquid Mutual Fund,Failure
60,67363,539801,Low,Car Purchase,4532887,1,FD,Success
42,165630,185365,Low,Buy a House,6162423,18,Equity Mutual Fund,Success
42,59380,435312,High,Retirement,9855379,14,ULIP,Success
32,26469,85551,High,Emergency Fund,2678395,12,ELSS Mutual Fund,Success
35,90820,911662,Low,Retirement,5539535,1,Savings Account,Failure
47,187430,1290063,Low,Child Education,5014308,30,Balanced Mutual Fund,Success
42,29681,123715,Medium,Emergency Fund,525759,2,Liquid Mutual Fund,Success
48,140636,1135701,High,Car Purchase,6021631,22,Equity Mutual Fund,Success
35,94578,505834,High,Buy a House,1614741,16,ULIP,Success
39,159265,1011407,Medium,Emergency Fund,9902846,21,Balanced Mutual Fund,Success
24,111067,1182070,Low,Travel Abroad,9923476,7,RD,Success
33,168984,251974,Medium,Buy a House,6390190,13,ULIP,Success
56,96308,92020,Low,Retirement,5857909,9,Savings Account,Success
52,172148,1420519,Low,Buy a House,534285,17,Balanced Mutual Fund,Success
25,155849,499189,Medium,Tax Saving,559208,13,ULIP,Success
23,195844,1104167,Medium,Child Education,7030610,12,ELSS Mutual Fund,Success
34,181612,1531054,High,Travel Abroad,3542307,15,Debt Mutual Fund,Success
32,68986,736839,Low,Emergency Fund,4739475,1,PPF,Success
28,157951,946202,High,Tax Saving,882482,24,FD,Success
52,137549,182374,Low,Emergency Fund,1906161,11,NPS,Success
44,76586,195070,High,Emergency Fund,2776824,21,PPF,Success
51,63825,636302,Medium,Tax Saving,6362336,1,ULIP,Success
45,94983,420956,Low,Car Purchase,1378431,22,Balanced Mutual Fund,Failure
58,170757,1743281,High,Travel Abroad,3193923,29,RD,Success
28,146081,870255,Low,Child Education,9037395,3,ELSS Mutual Fund,Failure
47,185471,474668,Low,Travel Abroad,1688174,25,ULIP,Success
35,103416,226168,Medium,Retirement,6992939,22,Sukanya Samriddhi,Success
58,60604,38890,Low,Tax Saving,7083375,7,RD,Success
54,84530,907827,Low,Car Purchase,1189108,18,Sukanya Samriddhi,Success
49,66311,323416,High,Car Purchase,9243862,27,Savings Account,Success
47,41494,69622,Low,Emergency Fund,9108268,13,ULIP,Success
22,137934,708808,High,Tax Saving,8447200,24,Gold ETF,Success
24,170141,1567754,High,Child Education,2735326,15,Balanced Mutual Fund,Success
24,75789,642050,Low,Tax Saving,2874176,21,Gold ETF,Failure
25,106948,1242587,Medium,Child Education,5023341,16,NPS,Success
